artist,lastfm_listeners,lastfm_playcount,similar_1,similar_2,similar_3
AKB48,154787,19232206,SKE48,NMB48,HKT48
AKKI (DE),41292,280595,,,
AL-90,140767,2484814,Cult Member,SOFT BLADE,Baltra
ALEX,220684,2953402,Tokyo Rose,ALEX & Tokyo Rose,Power Glove
ALEXANDRE APOSAN,3936,25319,Elizeu Alves,Ludi,Bruna Olly
ALI,415220,7143710,Eve,HOME MADE 家族,Shin Sakiura
ALMAR,23040,132086,Sajanka,Solarstone,JOÃO MAR
ALPHA 9,95311,1105178,Arty,Oliver Smith,Sunny Lax
AMAN,7532,83013,Piyush Bhisekar,Abhijay Sharma,Nilotpal Bora
AMARIA BB,56243,530560,,,
AMK,19029,366452,Dadi,Yorssy,La Mano 1.9
AMONGST THE ASHES,612,3086,Dimman,Thy Kingdom Will Burn,Swansong
ANAVITÓRIA,421714,40618522,,,
ANDY SVGE,15139,160823,Hard Driver,Devin Wild,Sound Rush
ANNA,230520,4224414,Elodie,Stephan Bodzin,Adam Beyer
ANUQRAM,16423,135476,Avenue One,My Friend,Darren Tate
AO Cubo,19949,215831,Pregador Luo,Expressão Ativa,Realidade Cruel
AP Dhillon,100200,6118439,Shubh,Diljit Dosanjh,Karan Aujla
APOLLYON.,5637,27499,XANSEII.,Elijah Gonzales,Anna Fonsaus
ARIETE,993,13698,PSICOLOGI,GAZZELLE,Coez
ARMNHMR,74806,1732308,Nurko,Crystal Skies,yetep
ARTBAT,133741,1325306,Kevin De Vries,Agents Of Time,Adriatique
ARTY,399849,4849496,Alpha 9,Super8 & Tab,Audien
ASCA,69021,1454128,,,
ASIAN KUNG-FU GENERATION,578543,32021365,サンボマスター,KANA-BOON,The Pillows
ASMR HD,10087,721619,ASMR,HeatheredEffect ASMR,Pelagea ASMR
ASTN,277526,4019352,,,
ATB,1228515,31242373,Paul van Dyk,Dash Berlin,Fragma
ATEEZ,604299,148943726,Jong Ho,xikers,P1Harmony
ATFC,138186,644922,Cavi,KRYPTOGRAM,Phil Fuldner
ATLiens,61344,814398,Subtronics,SVDDEN DEATH,Peekaboo
ATR,252603,5199652,Alec Empire,Ec8or,Lolita Storm
ATTLAS,143441,1166230,Eekkoo,BlackGummy,No Mana
AURORA,1510310,69720811,Caroline Polachek,Sigrid,Marina
AVIRA,34736,220971,Mees Salomé,Kasablanca,Anyma
AVIWKILA,11774,73921,OMJamie,Harryan Yoonsoan,Bernadya
AVOID,48792,900508,Windwaker,Alpha Wolf,Silent Planet
AYLIVA,75856,4562439,Shirin David,Hava,Nina Chuba
Aadesh Goud,1597,7058,Shirene Sanjay,Slowed and Reverbed Hindi,Samit Kapoor
Aamir Khan,5844,30222,Uttam Singh,Monty Sharma,Abhishek Bachchan
Aaren Hughes,17037,51336,Chloé Czans,Milo Liana,Admalou
Aaron Carl,16950,79593,Aaron-Carl,Lerosa,Eddie 'Flashin' Fowlkes
Aaron Espe,144926,644710,Ocie Elliott,Old Sea Brigade,Jolé
Aaron Karo,3246,28071,Jesse Joyce,Orny Adams,Ryan Stout
Aaron Keyes,12455,119681,Eoghan Heaslip,Brenton Brown,Kathryn Scott
Aaron Kwok,17402,242855,黎明,鄭秀文,劉德華
Aaron Shirk,7354,68185,Medz,ManCub,shXdow.
Aaron Shust,122795,1165918,MercyMe,Chris Tomlin,Rachael Lampa
Aaron Smith,685034,6806476,Bob Sinclar,Feder,Regard
Aaron Tveit,175939,2581248,Alice Ripley,Alan Cumming,Jeremy Jordan
Aaron Watson,74646,1095549,Jon Wolfe,Casey Donahew,Josh Abbott Band
Aaron Wilburn,1714,4435,T. Bubba Bechtol,Robert G. Lee,Kenn Kington
Aaryan Shah,254773,3467976,Always Never,Shaker,Zandros
Aastha Gill,33339,245362,Sachin-Jigar,Neha Kakkar,Pritam
Aazar,50563,229642,DJ Snake,Boombox Cartel,Yellow Claw
Ababeel,18,28,,,
Abandoned,41214,478795,jpb,Tankard,Besomorph
Abayomy Afrobeat Orquestra,22486,141764,Ifá,Iconili,Höröyá
Abbath,63645,1333348,Immortal,1349,Satyricon
Abby Cates,59927,454630,Taylor Bickett,Sophie Holohan,Lizzy McAlpine
Abdon Mech,837,5166,Temsu Clover,Trance Effect,Pelenuo Yhome
Abdul Hannan,24842,615928,Bayaan,Rovalio,Young Stunners
