artist,total_tracks,spotify_popularity,danceability,energy,speechiness,instrumentalness,pct_explicit_tracks,duration_min,feature_pct,spotify_track_genre
A Fine Frenzy,1,57.0,Medium,Low,Low,Vocal,0.0,4.48,0.0,acoustic
A Flock Of Seagulls,7,44.285714285714285,Medium,High,Low,Instrumental,0.0,3.988571428571429,0.0,synth-pop
A Forest Mighty Black,2,32.5,Medium,High,Low,Instrumental,0.0,4.720000000000001,0.0,trip-hop
A Great Big World,12,54.75,Medium,Low,Low,Vocal,0.0,3.7566666666666664,41.66666666666667,acoustic
A Life Once Lost,1,23.0,Medium,High,Low,Mixed,0.0,3.32,0.0,death-metal
A Mose,4,17.75,High,Medium,Low,Vocal,0.0,2.7975,75.0,afrobeat
A Niu,1,26.0,Medium,Low,Low,Vocal,0.0,2.67,0.0,mandopop
A Number Of Names,4,12.25,High,Medium,Low,Instrumental,0.0,4.9375,0.0,detroit-techno
A R I Z O N A,1,0.0,Medium,Medium,Low,Vocal,0.0,3.04,0.0,indie-pop
A Rocket To The Moon,6,51.666666666666664,Medium,Medium,Low,Vocal,0.0,3.4499999999999997,0.0,emo
A Si,3,52.0,Medium,Medium,Low,Vocal,0.0,3.8766666666666665,33.33333333333333,mandopop
A Skylit Drive,2,26.0,Low,High,Low,Vocal,0.0,3.245,0.0,metalcore
A Tribe Called Quest,3,67.66666666666667,High,Medium,Low,Vocal,0.0,3.856666666666667,0.0,hardcore
A Vida Music,2,38.5,Medium,Low,Low,Vocal,0.0,2.65,0.0,gospel
A Wilhelm Scream,3,30.333333333333332,Low,High,Low,Vocal,100.0,3.706666666666667,0.0,hardcore
A Winged Victory for the Sullen,1,59.0,Low,Low,Low,Instrumental,0.0,1.5,100.0,ambient
A$AP Rocky,1,82.0,High,Medium,Low,Vocal,100.0,3.42,100.0,hip-hop
A*S*Y*S,3,47.333333333333336,High,High,Low,Instrumental,0.0,6.71,66.66666666666666,techno
A-Lin,9,46.0,Low,Low,Low,Vocal,0.0,4.477777777777778,0.0,mandopop
A-Lusion,4,20.0,Medium,High,Low,Mixed,0.0,4.1425,50.0,hardstyle
A-Mei Chang,7,53.714285714285715,Medium,Low,Low,Vocal,0.0,4.724285714285714,0.0,mandopop
A-do,2,39.5,Medium,Medium,Low,Vocal,0.0,3.82,0.0,mandopop
A. G. Cook,4,40.25,Medium,Medium,Low,Vocal,0.0,2.8674999999999997,25.0,club
A. Kanyakumari,1,43.0,Low,Low,Low,Vocal,0.0,2.04,100.0,classical
A.B.I,1,18.0,High,Medium,Low,Vocal,0.0,3.32,0.0,malay
A.CHAL,1,61.0,High,Medium,Low,Vocal,100.0,2.75,0.0,soul
A.M.C,9,23.0,Medium,High,Low,Instrumental,0.0,4.503333333333334,22.22222222222222,drum-and-bass
A.M.R,2,51.5,Medium,Medium,Low,Instrumental,0.0,3.95,50.0,electronic
A.N.I.M.A.L.,26,22.53846153846154,Medium,High,Low,Vocal,0.0,3.5546153846153845,88.46153846153845,heavy-metal
A.R. Rahman,71,62.478873239436616,Medium,Medium,Low,Vocal,0.0,4.705211267605634,90.14084507042254,pop-film
A.Skillz,12,12.916666666666666,High,High,Low,Vocal,0.0,4.163333333333333,83.33333333333334,breakbeat
A1 x J1,6,60.666666666666664,High,Medium,Low,Vocal,83.33333333333334,2.646666666666667,83.33333333333334,chill
AA Apres-Ski!,2,29.0,Medium,High,Low,Vocal,0.0,3.315,0.0,disco
ABBA,71,37.140845070422536,Medium,High,Low,Vocal,0.0,3.877323943661972,0.0,swedish
ABC,5,22.6,High,High,Low,Vocal,0.0,3.368,0.0,synth-pop
ABC Kids,3,29.0,High,Low,Low,Vocal,0.0,1.2433333333333334,0.0,children
AC Slater,3,54.0,High,High,Low,Vocal,0.0,3.853333333333333,100.0,deep-house
AC/DC,28,68.10714285714286,Medium,High,Low,Vocal,0.0,4.232857142857143,0.0,hard-rock
ACE COLLECTION,2,44.0,Medium,Medium,Low,Vocal,0.0,5.32,0.0,anime
ACN Music.,3,50.0,Medium,High,Low,Vocal,0.0,2.4633333333333334,0.0,anime
ACxDC,4,11.25,Low,High,Low,Instrumental,25.0,1.38,0.0,grindcore
ADK Srirascol,2,37.5,Medium,High,Low,Vocal,0.0,4.33,100.0,malay
ADL,4,45.25,Medium,Medium,Low,Vocal,75.0,7.5575,100.0,brazil
AFI,9,15.777777777777779,Low,High,Low,Vocal,0.0,4.792222222222223,0.0,alternative
AFK,1,36.0,Medium,High,Low,Vocal,0.0,4.73,100.0,dubstep
AFKAP,1,60.0,Medium,Medium,Low,Vocal,0.0,3.01,0.0,hip-hop
AGA,5,45.2,Medium,Medium,Low,Vocal,0.0,4.386,20.0,cantopop
AGLORY,1,37.0,High,High,Low,Instrumental,0.0,4.95,0.0,club
AHOSHI,1,45.0,High,Low,Low,Instrumental,0.0,1.74,0.0,study
AHYRE,1,47.0,Medium,Medium,Low,Vocal,0.0,5.33,100.0,folk
AI,1,38.0,Medium,High,Low,Vocal,0.0,3.03,0.0,j-pop
AILEE,2,62.0,Low,Low,Low,Vocal,0.0,3.7800000000000002,0.0,k-pop
AIRMANN,1,41.0,High,Medium,Low,Instrumental,0.0,4.4,0.0,club
AIROD,2,47.0,High,High,Low,Instrumental,0.0,6.225,100.0,techno
AJ Ghent [ j-ent ],2,23.0,Medium,Low,Low,Vocal,0.0,5.66,0.0,guitar
AJ Mitchell,3,64.33333333333333,Medium,Medium,Low,Vocal,0.0,2.8800000000000003,66.66666666666666,electro
AJJ,8,31.75,Medium,Medium,Low,Vocal,37.5,2.49375,0.0,acoustic
AJR,4,52.75,Medium,Medium,Low,Vocal,75.0,3.2875,0.0,rock
AK-69,3,37.0,Medium,High,Low,Vocal,33.33333333333333,4.28,0.0,j-pop
AKA AKA,7,22.142857142857142,High,Medium,Low,Mixed,0.0,5.21,100.0,minimal-techno
AKB48,46,22.26086956521739,Medium,High,Low,Vocal,0.0,4.391521739130434,0.0,j-idol
AKKI (DE),2,42.0,High,Medium,Low,Mixed,0.0,7.0649999999999995,0.0,techno
AL-90,2,45.0,Medium,Medium,Low,Instrumental,0.0,4.91,50.0,ambient
ALEX,11,35.18181818181818,Medium,High,Low,Instrumental,0.0,4.0636363636363635,72.72727272727273,club
ALEXANDRE APOSAN,4,25.0,Medium,High,Low,Vocal,0.0,4.797499999999999,75.0,groove
ALI,2,63.5,Medium,High,Low,Vocal,0.0,5.475,100.0,soul
ALMAR,3,42.333333333333336,High,Medium,Low,Vocal,0.0,2.716666666666667,33.33333333333333,mpb
ALPHA 9,3,44.333333333333336,Medium,High,Low,Vocal,0.0,3.9166666666666665,66.66666666666666,progressive-house
AMAN,1,55.0,Medium,Low,Low,Vocal,0.0,3.74,0.0,indian
AMARIA BB,12,41.666666666666664,High,Medium,Low,Vocal,91.66666666666666,2.975,25.0,dancehall
AMK,1,36.0,Medium,Medium,Low,Vocal,100.0,3.55,0.0,emo
AMONGST THE ASHES,10,0.6,Low,High,Low,Vocal,0.0,3.56,0.0,iranian
ANAVITÓRIA,4,46.75,Medium,Low,Low,Vocal,0.0,3.75,0.0,folk
ANDY SVGE,2,20.5,Medium,High,Low,Mixed,50.0,4.71,0.0,hardstyle
ANNA,5,43.4,Medium,High,Low,Instrumental,0.0,5.324,60.0,minimal-techno
ANUQRAM,1,35.0,Medium,High,Low,Instrumental,0.0,6.29,0.0,progressive-house
AO Cubo,2,43.5,Medium,Medium,Low,Vocal,0.0,5.8149999999999995,0.0,brazil
AP Dhillon,29,68.62068965517241,High,Medium,Low,Vocal,3.4482758620689653,2.951724137931034,82.75862068965517,hip-hop
APOLLYON.,1,59.0,Medium,Medium,Low,Vocal,100.0,3.62,100.0,chill
ARIETE,1,1.0,Medium,Medium,Low,Vocal,0.0,2.63,0.0,indie
ARMNHMR,4,47.0,Medium,Medium,Low,Vocal,0.0,4.355,100.0,dub
ARTBAT,9,51.333333333333336,Medium,Medium,Low,Instrumental,0.0,7.283333333333333,66.66666666666666,electronic
ARTY,11,53.36363636363637,Medium,High,Low,Vocal,0.0,3.1036363636363635,72.72727272727273,progressive-house
ASCA,1,58.0,Medium,High,Low,Vocal,0.0,3.78,0.0,anime
ASIAN KUNG-FU GENERATION,5,58.4,Low,High,Low,Vocal,0.0,4.064,0.0,anime
