artist,total_tracks,spotify_popularity,danceability,energy,speechiness,instrumentalness,pct_explicit_tracks,duration_min,feature_pct,spotify_track_genre,nominations,year_with_most_nominations,most_common_category,most_common_award_class,lastfm_listeners,lastfm_playcount,similar_1,similar_2,similar_3
martin lawrence,10,21.2,Medium,Low,High,Vocal,100.0,4.513,0.0,comedy,0,,,,21263.0,108470.0,Carlos Mencia,Robert Schimmel,Craig Shoemaker
martin shamoonpour,12,0.1666666666666666,Low,Low,Low,Instrumental,0.0,4.2825,0.0,iranian,0,,,,428.0,4249.0,Mohammad Reza Shajarian,Shahyar Ghanbari,Pallett
martin short,2,21.5,Medium,Medium,Low,Vocal,0.0,3.005,50.0,comedy,0,,,,9664.0,48277.0,Colin O'Donoghue,Cecily Strong,Cinco Paul
martin solveig,7,37.57142857142857,High,High,Low,Vocal,0.0,3.3428571428571425,100.0,disco,0,,,,1238500.0,12958117.0,Kungs,Bob Sinclar,Ofenbach
martin and rose music,2,56.5,Medium,Medium,Low,Vocal,0.0,1.165,0.0,children,0,,,,20914.0,128393.0,David Landau,Nursery Rhymes Band,Bounce Patrol
martina topley-bird,2,49.5,Medium,Low,Low,Vocal,0.0,2.53,0.0,trip-hop,0,,,,546449.0,7507613.0,Soma Sonic,Marsmobil,The Mighty Bop
martinho da vila,5,41.4,High,Medium,Low,Vocal,0.0,2.8600000000000003,20.0,mpb,0,,,,291632.0,3906378.0,Beth Carvalho,Zeca Pagodinho,Paulinho da Viola
maru gomes,1,58.0,Low,Low,Low,Instrumental,0.0,2.46,0.0,piano,0,,,,64849.0,264182.0,Stephanie Middleton,Ellie-May Robertson,Lotus Laverne
175r,2,35.5,Medium,High,Low,Vocal,0.0,3.995,0.0,j-rock,0,,,,26585.0,388362.0,SHAKALABBITS,ガガガSP,Charcoal Filter
marvin rainwater,1,24.0,Medium,Low,Low,Vocal,0.0,2.53,0.0,rockabilly,0,,,,17559.0,70479.0,Don Woody,Eddie Bond,Mac Curtis
marvin santiago,2,0.0,High,High,Low,Vocal,0.0,4.47,0.0,salsa,0,,,,17636.0,79567.0,Cano Estremera,Conjunto Clasico,Hector Tricoche
marvvila,10,46.0,Medium,Medium,Low,Vocal,0.0,3.4769999999999994,80.0,pagode,0,,,,47540.0,380855.0,Guga Nandes,Di Propósito,Vitinho
mary costa,3,31.33333333333333,Low,Low,Low,Vocal,0.0,2.7466666666666666,33.33333333333333,disney,0,,,,97510.0,434917.0,George Bruns,Adriana Caselotti,Ilene Woods
1782,1,19.0,Low,Low,Low,Instrumental,0.0,5.9,0.0,heavy-metal,0,,,,44762.0,323742.0,Mephistofeles,Acid Mammoth,Electric Wizard
mary lattimore,1,3.0,Medium,Low,Low,Instrumental,0.0,6.24,0.0,ambient,0,,,,159994.0,1791184.0,Emily A. Sprague,Julianna Barwick,Green-House
mary's blood,1,19.0,Medium,High,Low,Vocal,0.0,5.31,0.0,j-idol,0,,,,11173.0,419430.0,Bridear,Aldious,FATE GEAR
maría caneda,2,24.0,Low,Low,Low,Vocal,0.0,2.925,100.0,disney,0,,,,8110.0,31031.0,Gema Castaño,Miguel Morant,Carmen López
maría isabel,1,28.0,High,High,Low,Vocal,0.0,2.57,0.0,spanish,0,,,,109702.0,989357.0,Nena Daconte,Edurne,Ana Mena
masacre,2,22.0,Low,High,Low,Vocal,0.0,6.5600000000000005,0.0,death-metal,0,,,,9086.0,127306.0,Mortem,Possessed,Agressor
masaharu fukuyama,26,31.307692307692307,Medium,High,Low,Vocal,0.0,4.7942307692307695,0.0,acoustic,0,,,,32543.0,1385397.0,コブクロ,Mr.Children,DREAMS COME TRUE
masaki suda,2,62.5,Medium,Medium,Low,Vocal,0.0,4.02,0.0,anime,0,,,,42326.0,527751.0,Yuuri,Aimyon,back number
masala coffee,7,33.57142857142857,Medium,High,Low,Vocal,0.0,3.962857142857143,42.85714285714285,folk,0,,,,2447.0,19276.0,Thaikkudam Bridge,Job Kurian,Street Academics
masappan,2,33.5,Medium,Medium,Low,Vocal,0.0,2.81,0.0,emo,0,,,,7447.0,67191.0,Delux,Tolidos,Bye Sami
masato(coldrain),1,48.0,Low,High,Low,Vocal,0.0,4.06,100.0,anime,0,,,,13629.0,106638.0,Paranom,高田ちゃん（CV.黒沢ともよ）,Masto (coldrain)
masayoshi yamazaki,3,43.333333333333336,Medium,Medium,Low,Vocal,0.0,5.66,0.0,acoustic,0,,,,46298.0,1568083.0,斉藤和義,槇原敬之,秦基博
masayuki suzuki,4,59.5,High,High,Low,Vocal,0.0,4.33,100.0,j-pop,0,,,,171655.0,2861635.0,MOB CHOIR,OxT,Tatsuya Kitani
mascarpone,1,40.0,Medium,High,Low,Instrumental,0.0,4.15,0.0,club,0,,,,14541.0,125644.0,REVIZIA,Assalm,Street Fever
mase,5,5.4,High,High,Low,Vocal,80.0,3.86,40.0,hardcore,0,,,,518884.0,3471141.0,Cam'ron,Fabolous,Jadakiss
masicka,10,27.7,High,High,Low,Vocal,70.0,2.868,40.0,j-dance,0,,,,26171.0,367453.0,TeeJay,Alkaline,Dexta Daps
maskatesta,8,37.625,Medium,High,Low,Vocal,0.0,3.89125,12.5,ska,0,,,,9755.0,152532.0,La Tremenda Korte,Nana Pancha,Los Victorios
masked intruder,14,22.5,Medium,High,Low,Vocal,7.142857142857142,2.4564285714285714,0.0,power-pop,0,,,,54559.0,1862729.0,Teenage Bottlerocket,The Methadones,The Lillingtons
masked wolf,1,79.0,High,Medium,Low,Vocal,100.0,2.21,0.0,hip-hop,0,,,,580639.0,6214385.0,Vin Jay,Ryan Caraveo,Bazanji
massacre,4,38.75,Medium,High,Low,Vocal,0.0,4.5525,0.0,punk-rock,0,,,,95112.0,2497325.0,Benediction,Malevolent Creation,Cancer
massagem guru,3,23.0,Low,Low,Low,Instrumental,0.0,4.53,0.0,world-music,0,,,,1202.0,5045.0,Last Comfort Zone,Rainy Lullaby,Musica para Acostarse
massane,2,52.0,Medium,High,Low,Vocal,0.0,3.69,100.0,progressive-house,0,,,,55834.0,583499.0,Ocula,Tinlicker,Rylan Taggart
massano,6,44.5,High,Medium,Low,Instrumental,0.0,6.7250000000000005,0.0,techno,0,,,,5846.0,39715.0,INNELLEA,Agents Of Time,Kevin De Vries
massilia sound system,1,32.0,High,High,Low,Vocal,0.0,3.69,0.0,french,0,,,,50460.0,707456.0,Zoufris Maracas,La Rue Kétanou,Sinsemilia
massive attack,44,39.5,Medium,Medium,Low,Instrumental,0.0,5.559545454545455,25.0,trip-hop,0,,,,3287864.0,154354360.0,The Funky Lowlives,Nuspirit Helsinki,Hird
master haratt,1,47.0,High,Medium,Low,Instrumental,0.0,3.1,0.0,study,0,,,,16697.0,37321.0,shrub.beats,Von Von Bon,DROPQUICK
master kg,3,25.33333333333333,High,Medium,Low,Vocal,0.0,4.003333333333333,100.0,house,0,,,,129138.0,892593.0,Keen'V,Ofenbach,Collectif Métissé
masters,1,31.0,Medium,High,Low,Vocal,0.0,2.82,0.0,disco,0,,,,29747.0,238193.0,After Party,MiłyPan,Piękni i Młodzi
masters of ceremony,7,19.0,High,High,Low,Vocal,28.57142857142857,4.212857142857144,14.285714285714285,happy,0,,,,26896.0,207568.0,Hard Creation,Catscan,D-Passion
mastifal,11,23.545454545454547,Medium,High,Low,Vocal,0.0,3.996363636363637,0.0,heavy-metal,0,,,,3256.0,103292.0,Serpentor,Horcas,Plan 4
1788-l,1,35.0,Low,High,Low,Instrumental,0.0,3.55,100.0,club,0,,,,40345.0,371680.0,Deathpact,Rezz,Notaker
mastruz com leite,13,42.15384615384615,Medium,High,Low,Vocal,0.0,3.922307692307692,0.0,forro,0,,,,83644.0,1288512.0,Banda Magníficos,Cavalo de Pau,Limão Com Mel
mat kearney,2,51.5,Medium,Low,Low,Vocal,0.0,4.09,0.0,acoustic,0,,,,803995.0,12442115.0,Matt Nathanson,Joshua Radin,Matt Wertz
mat zo,3,35.333333333333336,Medium,High,Low,Mixed,0.0,3.856666666666667,100.0,progressive-house,0,,,,304207.0,3864403.0,Oliver Smith,Jaytech,Genix
mat.joe,1,3.0,High,High,Low,Vocal,0.0,3.1,100.0,deep-house,0,,,,74684.0,371056.0,Weiss (UK),Hot Since 82,Jamie Jones
matador,6,34.666666666666664,Medium,Medium,Low,Instrumental,0.0,6.111666666666667,50.0,minimal-techno,0,,,,56812.0,341962.0,Pig & Dan,ARTBAT,Julian Jeweil
matadoria,5,34.8,Medium,High,Low,Vocal,0.0,3.704,0.0,malay,0,,,,1084.0,11771.0,Thakara,Dhanwin K B,Rex Vijayan
matanza,26,39.03846153846154,Low,High,Low,Vocal,3.8461538461538463,3.122307692307692,3.8461538461538463,hard-rock,0,,,,205226.0,15527311.0,Jimmy & Rats,Raimundos,Velhas Virgens
matata,1,20.0,High,Medium,Low,Vocal,0.0,2.83,0.0,afrobeat,0,,,,45194.0,184480.0,Sauti Sol,Otile Brown,The Funkees
matchbox,2,22.5,Medium,High,Low,Vocal,0.0,2.89,0.0,rockabilly,0,,,,44958.0,301118.0,John Lindberg Trio,Lee Rocker,Eddy & The Backfires
matchbox twenty,10,53.4,Medium,High,Low,Vocal,0.0,3.861,0.0,grunge,0,,,,1795163.0,34235952.0,Rob Thomas,Vertical Horizon,Goo Goo Dolls
matchy,1,39.0,High,Medium,Low,Instrumental,0.0,7.34,0.0,techno,0,,,,12643.0,59182.0,Raphael Mader,Visual Impact,Wurtz
mateo,1,58.0,Medium,Medium,Low,Vocal,0.0,2.59,100.0,french,0,,,,53585.0,379673.0,Nounours,ALEX KEEPER,Bleu Azur
material issue,3,21.0,Medium,High,Low,Vocal,0.0,3.286666666666666,0.0,power-pop,0,,,,45667.0,438598.0,Matthew Sweet,Velvet Crush,The Plimsouls
mateus aleluia,1,40.0,Medium,Low,Low,Vocal,0.0,4.71,100.0,mpb,0,,,,25758.0,471798.0,Alessandra Leão,Juçara Marçal e Kiko Dinucci,Tiganá Santana
mateus e cristiano,1,46.0,High,High,Low,Vocal,0.0,3.09,0.0,sertanejo,0,,,,3080.0,15671.0,Ana Paula & Carine Viola,Lu e Luan,Vinicius Pardini
mathame,1,47.0,High,Medium,Low,Mixed,0.0,6.38,0.0,techno,0,,,,55975.0,465588.0,Adam Beyer,Agents Of Time,Mossano
mathan,8,35.0,Medium,High,Low,Vocal,0.0,4.27,100.0,malay,0,,,,1826.0,16338.0,Havoc Brothers,Havoc Mathan,Psychomantra
matheus & kauan,48,48.770833333333336,Medium,High,Low,Vocal,0.0,3.020208333333333,2.083333333333333,sertanejo,0,,,,303344.0,12873098.0,Henrique & Juliano,Zé Neto & Cristiano,Jorge & Mateus
matheus balo,3,40.66666666666666,Medium,Medium,Low,Vocal,0.0,4.283333333333334,33.33333333333333,gospel,0,,,,1093.0,4084.0,Fredy Miler,Lincoln Baena,ATITUD
matheus marcolino,1,51.0,Medium,High,Low,Vocal,0.0,3.19,0.0,sertanejo,0,,,,3043.0,28538.0,Mc WL,Leo Chaves,Cabrera
matheusinho,1,42.0,Medium,Medium,Low,Vocal,0.0,3.09,100.0,pagode,0,,,,15350.0,93045.0,Sudario,Grupo Sem Abuso,Chininha
mathew jonson,1,36.0,High,High,Low,Instrumental,0.0,7.79,100.0,minimal-techno,0,,,,136165.0,895987.0,Alex Smoke,Cobblestone Jazz,Guy Gerber
mathew joseph,1,37.0,High,Low,Low,Instrumental,0.0,3.7,0.0,guitar,0,,,,12297.0,71121.0,Lester Paredes,Masaaki Kishibe,Wolfgang Vrecun
mathew t john,4,31.5,Medium,Medium,Low,Vocal,0.0,4.695,25.0,malay,0,,,,128.0,1525.0,Dr. Blesson Memana,Don Valiyavelicham,Rex Media House ©®
mathias.,1,37.0,Medium,Medium,Low,Vocal,100.0,1.83,0.0,sad,0,,,,8706.0,112777.0,Taylr Woods,LiFli,WillV
matias aguayo,2,10.0,High,High,Low,Mixed,0.0,4.985,0.0,minimal-techno,0,,,,123663.0,1039964.0,Jürgen Paape,Superpitcher,Reinhard Voigt
matilda mann,4,51.5,Medium,Low,Low,Vocal,0.0,2.925,0.0,british,0,,,,247997.0,2973941.0,Tommy Lefroy,Eloise,Lizzy McAlpine
matisse & sadko,3,50.66666666666666,Medium,Medium,Low,Vocal,33.33333333333333,2.9766666666666666,100.0,progressive-house,0,,,,128114.0,1116825.0,DubVision,Third Party,Martin Garrix
matisyahu,1,55.0,Low,Medium,Low,Vocal,0.0,3.46,0.0,reggae,0,,,,889537.0,20615478.0,Tribal Seeds,Rebelution,Stick Figure
matmatah,1,31.0,Low,Medium,Low,Vocal,0.0,4.19,0.0,french,0,,,,88909.0,1390196.0,Louise Attaque,Noir Désir,La Rue Kétanou
mato seco,4,43.25,High,Medium,Low,Vocal,0.0,6.87,75.0,brazil,0,,,,61618.0,1136056.0,Ponto de Equilíbrio,Planta e Raiz,Dezarie
matogrosso & mathias,22,47.77272727272727,Medium,Medium,Low,Vocal,0.0,3.5231818181818184,27.27272727272727,sertanejo,0,,,,61068.0,540285.0,Milionário & José Rico,Chico Rey & Paraná,João Paulo & Daniel
matoma,6,11.5,High,High,Low,Vocal,0.0,3.171666666666667,100.0,edm,0,,,,515767.0,5539264.0,,,
matooma,1,59.0,Low,Low,Low,Instrumental,0.0,3.08,0.0,ambient,0,,,,49537.0,326358.0,Jorin Williams,Beyond The Last Star,Ambient Renaissance
matrioska,1,33.0,Medium,High,Low,Vocal,0.0,2.79,0.0,ska,0,,,,13158.0,182665.0,Vallanzaska,Derozer,Shandon
matrix,2,37.5,Medium,High,Low,Vocal,0.0,3.81,100.0,drum-and-bass,0,,,,84264.0,600130.0,Blue Marble,Exploid,Flowidus
matrix & futurebound,14,26.5,Medium,High,Low,Vocal,0.0,3.860714285714285,78.57142857142857,drum-and-bass,0,,,,226448.0,2930288.0,Metrik,Sub Focus,Wilkinson
mats bergström,1,45.0,Medium,Low,Low,Instrumental,0.0,2.77,0.0,guitar,0,,,,20273.0,73201.0,Daniel Kaede,Peder Falk,Henrik Janson
mats ronander,1,36.0,Medium,High,Low,Vocal,0.0,3.47,100.0,swedish,0,,,,10961.0,55719.0,Mikael Rickfors,Grymlings,Dan Hylander
mats rådberg,5,36.2,Medium,Medium,Low,Vocal,0.0,3.564,60.0,swedish,0,,,,11329.0,602024.0,Mats Rådberg & Rankarna,Christina Lindberg,Ann-Louise Hanson
